question|A|B|C|D|answer
When did the first season of "Avrupa Yakası" air? | A) 2002-2003 | B) 2003-2004 | C) 2004-2005 | D) 2005-2006 | C
How many episodes does the second season of "Avrupa Yakası" contain? | A) 19 | B) 32 | C) 39 | D) 28 | C
Which season introduced the character Şahika? | A) Third Season | B) Fourth Season | C) Fifth Season | D) Sixth Season | C
Which character did Binnur Kaya play in the sixth season of "Avrupa Yakası"? | A) İffet Sütçüoğlu | B) Dilber Hala | C) Aslı | D) Makbule | B
What role did Rutkay Aziz portray in the series? | A) Cem's father | B) Aslı's father | C) Volkan's father | D) None of the above | A
Dizinin altıncı sezonunda Binnur Kaya hangi iki karakteri canlandırmıştır? | A) Şahika ve Dilber Hala | B) Aslı ve İffet | C) Makbule ve Şahika | D) Dilber Hala ve Makbule | A
Dizinin kaçıncı sezonunda Volkan karakteri askere gitmiştir? | A) İkinci | B) Üçüncü | C) Dördüncü | D) Beşinci | B
Dizinin hangi sezonunda Volkan, askerden dönerek diziye geri katılmıştır? | A) Üçüncü | B) Dördüncü | C) Beşinci | D) Altıncı | D
Dizinin altıncı sezonunda hangi ünlü karakter, iki karakteri aynı anda canlandırmıştır? | A) Ata Demirer | B) Engin Günaydın | C) Binnur Kaya | D) Levent Üzümcü | A
"Avrupa Yakası" dizisi toplam kaç bölümden oluşmaktadır? | A) 150 | B) 175 | C) 190 | D) 200 | C
Dizinin üçüncü sezonunda, Sütçüoğlu ailesinin hangi üyesi dergi ofisinde idare müdürü olarak işe başlamıştır? | A) Volkan | B) Aslı | C) Burhan | D) Tacettin | C
Dizinin beşinci sezonunda, hangi karakter yılbaşı bölümünden sonra performansından memnun olunmadığı için ayrılmıştır? | A) Cesur | B) Gülenay | C) Kubilay | D) Makbule | A
Altıncı sezonun ilk üç bölümünde hangi karakterin repliği kaldırılarak yerine Ata Demirer'in Zeki Müren tonlamasında replik getirilmiştir? | A) Vural Çelik | B) Engin Günaydın | C) Yıldırım Öcek | D) Sarp Apak | A
Dizinin altıncı sezonunda, Gazanfer Özcan'ın vefatı sonrası diziye katılan iki yeni karakter kimlerdir? | A) Müşfik Kenter ve Gönül Ülkü | B) Rutkay Aziz ve Suna Keskin | C) Yıldırım Öcek ve Şenay Gürler | D) Peker Açıkalın ve Hasibe Eren | A
Dizinin dördüncü sezonunda, Fatoş ile hangi karakter arasında aşk başlamıştır? | A) Tanrıverdi | B) Cem | C) Kubilay | D) Tacettin | A
Volkan'ın şöhret olma tutkusu hangi sezonda yoğunluk kazanmıştır? | A) İkinci | B) Üçüncü | C) Dördüncü | D) Beşinci | A
Beşinci sezonda, Burhan Altıntop hangi popüler Türk televizyon programına katılmıştır? | A) Survivor | B) Var mısın Yok musun | C) Kim Milyoner Olmak İster | D) Yetenek Sizsiniz | B
Dizinin altıncı sezonunda, Dilber Hala karakterinin Adana Demirspor taraftarları tarafından nasıl bir jest yapılmıştır? | A) Forma hediye edilmesi | B) Pankart açılması | C) Maçta özel şarkı söylenmesi | D) Onuruna özel maç düzenlenmesi | B
Dizinin altıncı sezonunda, iPhone'un tanıtım amaçlı dağıtılması hangi bölümde işlenmiştir? | A) İlk bölüm | B) Üçüncü bölüm | C) Dördüncü bölüm | D) Beşinci bölüm | C
"Avrupa Yakası" dizisinde, Volkan karakterinin askere gitmesi hangi şehirde gerçekleşmiştir? | A) İstanbul | B) Trabzon | C) Bursa | D) Adana | B
